1.2501 	0.0000 	58.9266 	1.0000 
1.2501 	0.0500 	66.8942 	1.0000 
1.2233 	0.1000 	79.9923 	0.9577 
1.2233 	0.1500 	90.4506 	0.9577 
1.2279 	0.2000 	100.7876 	0.9648 
1.2279 	0.2500 	109.7556 	0.9648 
1.2365 	0.3000 	119.7197 	0.9784 
1.2365 	0.3500 	127.0316 	0.9784 
1.2395 	0.4000 	134.6941 	0.9831 
1.2395 	0.4500 	142.0670 	0.9831 
1.2429 	0.5000 	150.5944 	0.9886 
1.2429 	0.5500 	158.0198 	0.9886 
1.2440 	0.6000 	164.4914 	0.9904 
1.2440 	0.6500 	171.7845 	0.9904 
1.2446 	0.7000 	177.4633 	0.9912 
1.2446 	0.7500 	184.2819 	0.9912 
1.2400 	0.8000 	189.9650 	0.9840 
1.2400 	0.8500 	195.3220 	0.9840 
1.2347 	0.9000 	200.6761 	0.9756 
1.2297 	0.9500 	205.0534 	0.9677 
1.2276 	1.0000 	209.7508 	0.9644 
1.2276 	1.0500 	215.0896 	0.9644 
1.2157 	1.1000 	217.8368 	0.9458 
1.2157 	1.1500 	222.5179 	0.9458 
1.2146 	1.2000 	226.3865 	0.9440 
1.2146 	1.2500 	228.8016 	0.9440 
1.2065 	1.3000 	233.4648 	0.9316 
1.2065 	1.3500 	237.3176 	0.9316 
1.2040 	1.4000 	240.5237 	0.9276 
1.2040 	1.4500 	243.7256 	0.9276 
1.2479 	1.5000 	246.7634 	0.9965 
1.2479 	1.5500 	250.2759 	0.9965 
1.2686 	1.6000 	250.7545 	1.0299 
1.2686 	1.6500 	254.7387 	1.0299 
1.2642 	1.7000 	256.0123 	1.0228 
1.2642 	1.7500 	256.8079 	1.0228 
1.2898 	1.8000 	259.6697 	1.0646 
1.2898 	1.8500 	262.0519 	1.0646 
1.2634 	1.9000 	263.3214 	1.0215 
1.2246 	1.9500 	265.8584 	0.9596 
1.1960 	2.0000 	268.0760 	0.9154 
1.1960 	2.0500 	269.5005 	0.9154 
1.1221 	2.1000 	270.2916 	0.8057 
1.1221 	2.1500 	272.3470 	0.8057 
1.0690 	2.2000 	275.3481 	0.7313 
1.0690 	2.2500 	276.9262 	0.7313 
1.0124 	2.3000 	279.1338 	0.6560 
1.0124 	2.3500 	282.2843 	0.6560 
0.9803 	2.4000 	284.8020 	0.6149 
0.9803 	2.4500 	289.2024 	0.6149 
0.5842 	2.5000 	289.9874 	0.2184 
0.5842 	2.5500 	293.5960 	0.2184 
0.5487 	2.6000 	299.2355 	0.1927 
0.5487 	2.6500 	304.5527 	0.1927 
0.5353 	2.7000 	309.7059 	0.1834 
0.5353 	2.7500 	314.8520 	0.1834 
0.5275 	2.8000 	319.2134 	0.1781 
0.5275 	2.8500 	325.2812 	0.1781 
0.4292 	2.9000 	329.6330 	0.1179 
0.4134 	2.9500 	335.6884 	0.1093 
0.3589 	3.0000 	342.5127 	0.0825 
0.3589 	3.0500 	351.1875 	0.0825 
0.2977 	3.1000 	360.3152 	0.0567 
0.2977 	3.1500 	372.9814 	0.0567 
